,actions,availability,bucket_name,discount_asked,discount_obtained,id,nightly_price,nightly_price_scraped,response
10,[],-1,days1_weeks1,0.9,0,7036290,46.0,$50,"Ok let me check my calendar *************** Hi Michael, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-28 to 2016-03-29. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $40/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
11,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$814898694.0.0""><span data-reactid="".4.3.0:$814898694.0.0.0""><span data-reactid="".4.3.0:$814898694.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$814898694.0.0.0.$0"">lo scorso Sabato alle 18:39</span></span></span>]",-1,days1_weeks1,0.8,0,10615883,111.0,$220,"Hi Michele!  Thanks for your kind message.  I'm sorry to say my apartment is actually not available for the date you requested.  I'm updating my calendar now to make sure it's accurate.  Since you mentioned you'll be visiting a few times, please do check again next time.  Hopefully we'll find a time that works for both of us.   Also if you're traveling on your own, I have a separate listing for just the 1 bedroom inside my apartment (I would be living and working in the upstairs portion of the apartment).

Cheers,

Hatim *************** Hi Hatim, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-27 to 2016-03-28. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $85/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
12,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815364889.0.0""><span data-reactid="".4.3.0:$815364889.0.0.0""><span data-reactid="".4.3.0:$815364889.0.0.0.$0"">Brady</span><span data-reactid="".4.3.0:$815364889.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$815364889.0.0.0.$1"">Ieri alle 04:15</span></span></span>]",-1,days1_weeks1,0.6,0,8054651,48.0,$52,"Hi Michele, the room is available and we would be happy to host you, but $25 is too low for the room.  *************** Hi Brady, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-31 to 2016-04-01. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $25/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
13,[],-1,days1_weeks1,0.7,0,8392760,46.0,$65,"I have a high volume of requests for the room so the sooner the reservation is made, the better the chances it's yours !  *************** https://airbnb.com/rooms/8391132?s=8&user_id=44213272&ref_device_id=29e4a1384246690af3330c5683fa8647c237f831 *************** Hello Michael. Thank you for checking my listing. That room I rented a couple minutes ago, but I have another room *************** Hi Gema, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-27 to 2016-03-28. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $30/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
14,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815235369.0.0""><span data-reactid="".4.3.0:$815235369.0.0.0""><span data-reactid="".4.3.0:$815235369.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$815235369.0.0.0.$0"">Ieri alle 00:08</span></span></span>, <span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815230625.0.0""><span data-reactid="".4.3.0:$815230625.0.0.0""><span data-reactid="".4.3.0:$815230625.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$815230625.0.0.0.$0"">Ieri alle 00:02</span></span></span>]",-1,days1_weeks1,0.8,0,8622301,106.0,$115,"Thank you for your interest. Unfortunately, I have guests leaving on the 29th and new guests checking in on the 30th. It is already a squeeze. Therefore, I can not reduce my price. My apologies.  *************** Hi 'Cil, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-29 to 2016-03-30. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 3 collegues of mine, who will stay with me.  Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $80/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
15,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815221881.0.0""><span data-reactid="".4.3.0:$815221881.0.0.0""><span data-reactid="".4.3.0:$815221881.0.0.0.$0"">Aaron And Andrew</span><span data-reactid="".4.3.0:$815221881.0.0.0.1""> ha inviato un'offerta speciale di </span><span data-reactid="".4.3.0:$815221881.0.0.0.$1"">$75</span><span data-reactid="".4.3.0:$815221881.0.0.0.3"">/notte</span></span></span>, <span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815205204.0.0""><span data-reactid="".4.3.0:$815205204.0.0.0""><span data-reactid="".4.3.0:$815205204.0.0.0.$0"">Aaron And Andrew</span><span data-reactid="".4.3.0:$815205204.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$815205204.0.0.0.$1"">lo scorso Sabato alle 23:32</span></span></span>]",-1,days1_weeks1,0.9,0,8634383,87.0,$75,"Hi Michele, 

I'd be happy to host you. I sent you a special offer. Let me know if you have any other questions or anything.  *************** Hi Aaron And Andrew, my name is Michele and I am interested in staying at your place for 1 day, from 2016-04-01 to 2016-04-02. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $75/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
16,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815138717.0.0""><span data-reactid="".4.3.0:$815138717.0.0.0""><span data-reactid="".4.3.0:$815138717.0.0.0.$0"">Yomi</span><span data-reactid="".4.3.0:$815138717.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$815138717.0.0.0.$1"">lo scorso Sabato alle 22:20</span></span></span>]",-1,days1_weeks1,0.8,0,10355818,20.0,$45,"Sorry I can't lower the rate. *************** Hi Yomi, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-28 to 2016-03-29. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $15/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
17,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815741672.0.0""><span data-reactid="".4.3.0:$815741672.0.0.0""><span data-reactid="".4.3.0:$815741672.0.0.0.$0"">Bella</span><span data-reactid="".4.3.0:$815741672.0.0.0.1""> ha inviato un'offerta speciale di </span><span data-reactid="".4.3.0:$815741672.0.0.0.$1"">$70</span><span data-reactid="".4.3.0:$815741672.0.0.0.3"">/notte</span></span></span>]",-1,days1_weeks1,0.9,0,7886607,55.0,$70,"There is also 20$ cleaning fee added to all r serrations.  I can lower the price to $50 per night plus cleaning fee.  Let me know it that works.  *************** Hi Bella, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-29 to 2016-03-30. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $45/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
18,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815476172.0.0""><span data-reactid="".4.3.0:$815476172.0.0.0""><span data-reactid="".4.3.0:$815476172.0.0.0.$0"">Kevin</span><span data-reactid="".4.3.0:$815476172.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$815476172.0.0.0.$1"">Ieri alle 07:32</span></span></span>]",-1,days1_weeks1,0.6,0,2284027,78.0,$58,"Hey ! 

Thanks for reaching out! I would love to host you while you are here in NYC! Unfortunately I can't move the price anymore as it is starting to be the busy season and I just reduced this one night already to get it booked...

I've approved the date for you, though so go ahead and book it if you are ready. Let me know if you have any questions, otherwise I'll look forward to meeting you when you arrive!

-KC  *************** Hi Kevin, my name is Michele and I am interested in staying at your place for 1 day, from 2016-03-31 to 2016-04-01. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $45/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
19,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815475630.0.0""><span data-reactid="".4.3.0:$815475630.0.0.0""><span data-reactid="".4.3.0:$815475630.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$815475630.0.0.0.$0"">Ieri alle 07:31</span></span></span>]",-1,days1_weeks1,0.7,0,4555351,91.0,$129,"unfortunately I am looking for guests that plan to stay longer than 1 night. thanks for your interest!  *************** Hi Hannah, my name is Michele and I am interested in staying at your place for 1 day, from 2016-04-01 to 2016-04-02. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Since the trip is coming up very soon, and I found my schedule matches perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $60/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
20,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815892288.0.0""><span data-reactid="".4.3.0:$815892288.0.0.0""><span data-reactid="".4.3.0:$815892288.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$815892288.0.0.0.$0"">Ieri alle 16:01</span></span></span>]",-1,days1_weeksM,0.7,0,9147025,134.0,$175,"I'm sorry I'm not excepting a booking that far in advance, and not for one day. That is a very busy time of year check back at a later date *************** Hi Diane, my name is Michele and I am interested in staying at your place for 1 day, from 2016-07-01 to 2016-07-02. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $90/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
21,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$815670674.0.0""><span data-reactid="".4.3.0:$815670674.0.0.0""><span data-reactid="".4.3.0:$815670674.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$815670674.0.0.0.$0"">Ieri alle 12:09</span></span></span>]",-1,days1_weeksM,0.8,0,581542,92.0,$130,"We prefer longer stays & we don't give discounts in the height of the beach season *************** Hi Jeanmarie, my name is Michele and I am interested in staying at your place for 1 day, from 2016-06-30 to 2016-07-01. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $70/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
22,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$817788238.0.0""><span data-reactid="".4.3.0:$817788238.0.0.0""><span data-reactid="".4.3.0:$817788238.0.0.0.$0"">Priyanka</span><span data-reactid="".4.3.0:$817788238.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$817788238.0.0.0.$1"">Oggi alle 20:47</span></span></span>]",-1,days1_weeksM,0.6,0,8311974,88.0,$95,"Michele, I spoke with my partner- we would be willing to lower the price to $80 a night if that works. Thanks! *************** Hi Michele,

We would be happy to have you stay. However the price is not flexible. Thanks. *************** Hi Priyanka, my name is Michele and I am interested in staying at your place for 1 day, from 2016-05-03 to 2016-05-04. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $50/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
23,[],-1,days1_weeksM,0.7,0,1208742,83.0,$180,"Hi Michele, no I would not reduce the price. Thank you! *************** Hi Jamie, my name is Michele and I am interested in staying at your place for 1 day, from 2016-05-31 to 2016-06-01. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $55/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
24,[],-1,days1_weeksM,0.8,0,7127882,78.0,$130,"Hi Colby, my name is Michele and I am interested in staying at your place for 1 day, from 2016-04-29 to 2016-04-30. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $60/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
25,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$816488396.0.0""><span data-reactid="".4.3.0:$816488396.0.0.0""><span data-reactid="".4.3.0:$816488396.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$816488396.0.0.0.$0"">Oggi alle 00:39</span></span></span>]",-1,days1_weeksM,0.6,0,4568238,44.0,$55,"Hi Michele, my room is not available at this time and I thought it was blocked off on my calendar. Best of luck

Darian *************** Hi Darian, my name is Michele and I am interested in staying at your place for 1 day, from 2016-05-01 to 2016-05-02. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $25/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
26,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$816533259.0.0""><span data-reactid="".4.3.0:$816533259.0.0.0""><span data-reactid="".4.3.0:$816533259.0.0.0.$0"">Eden</span><span data-reactid="".4.3.0:$816533259.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$816533259.0.0.0.$1"">Oggi alle 01:34</span></span></span>]",-1,days1_weeksM,0.7,0,2141549,132.0,$185,"Ciao Michele this is the lowest price I can go . Thank u for contact me  *************** Hi Eden, my name is Michele and I am interested in staying at your place for 1 day, from 2016-05-02 to 2016-05-03. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with 2 collegues of mine, who will stay with me.  Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $90/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
27,[],-1,days1_weeksM,0.8,0,2346416,69.0,$75,"Hi Lauren, my name is Michele and I am interested in staying at your place for 1 day, from 2016-05-15 to 2016-05-16. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $55/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
28,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$816723503.0.0""><span data-reactid="".4.3.0:$816723503.0.0.0""><span data-reactid="".4.3.0:$816723503.0.0.0.$0"">Marie</span><span data-reactid="".4.3.0:$816723503.0.0.0.1""> ti ha pre-approvato il </span><span data-reactid="".4.3.0:$816723503.0.0.0.$1"">Oggi alle 05:32</span></span></span>]",-1,days1_weeksM,0.9,0,3833207,58.0,$67,"Hi Michele,
Thanks very much to reply my post. The apartment is available the day you're looking for. Thanks also for all your informations.
It will be my pleasure to welcome you and your friend in NYC.
Have a great day
Sincerely,
Marie *************** Hi Marie, my name is Michele and I am interested in staying at your place for 1 day, from 2016-04-11 to 2016-04-12. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world.I will visit New York a few times this year to work on a project with a local school. I will be there with a collegue of mine, who will stay with me.  Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $50/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
29,[],-1,days1_weeksM,0.8,0,9362344,55.0,$90,"Let me know if still interests  *************** No sorry can't lower the price:( *************** Hi Liubov, my name is Michele and I am interested in staying at your place for 1 day, from 2016-04-16 to 2016-04-17. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $40/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
30,"[<span class=""horizontal-rule-wrapper"" data-reactid="".4.3.0:$816703383.0.0""><span data-reactid="".4.3.0:$816703383.0.0.0""><span data-reactid="".4.3.0:$816703383.0.0.0.0"">Prenotazione rifiutata il </span><span data-reactid="".4.3.0:$816703383.0.0.0.$0"">Oggi alle 05:05</span></span></span>]",-1,days1_weeksM,0.6,0,7400423,60.0,$85,"Hi Maggie, my name is Michele and I am interested in staying at your place for 1 day, from 2016-06-06 to 2016-06-07. The calendar is open on these days and I am wondering if it is still available? A little bit more about myself: I am a graduate student from Milan, Italy and study Communication Design. I am fond of exploring cultures and visual arts around the world. Because my schedule match perfectly with the opening in your calendar, I am wondering if you would be willing to lower the rate to $35/night? I would be willing to make the booking immediately if the price is ok with you. *************** "
